Stock,Sales_Growth,Operating_Profit_Growth,Growth Indicator,Sector,Industry,PB Ratio,Industry PE,Value Indicator,EPS,PE Ratio,D/E Ratio,Beta,Buffett Filter,Lynch Filter
ARSHIYA.NS,317.9616659446989,-63.33191077598601,0,Industrials,Integrated Freight & Logistics,-0.022311246,17.761163324158403,1,-106.97578089844995,-0.025145878603621177,,0.83,0,0
ARSSINFRA.NS,,,0,Industrials,Infrastructure Operations,-0.7298957,1.7596917696739192,1,-3.4152959802972997,-15.940053311356348,,0.988,0,0
ARVEE.NS,-15.178405686512015,-15.247260936490914,0,Basic Materials,Specialty Chemicals,6.312256,36.470734724695,0,1.991138838475499,89.24038674070917,3.222,0.7,0,0
ARVIND.NS,12.10791517950871,5.750496401092081,0,Consumer Cyclical,Textile Manufacturing,2.4654996,-84.48168306527056,0,13.501363420391264,21.3,40.354,-0.075,0,0
ARVINDFASN.NS,-21.67445774121167,-283.8041853512705,0,Consumer Cyclical,Apparel Manufacturing,6.296034,-14.603071565408019,1,-2.562044233712451,-176.4996849194729,99.338,-0.302,0,0
ARVSMART.NS,,,0,Real Estate,Real Estate - Development,5.317786,13.948029797161027,0,24.15205010000328,16.62,35.307,0.153,0,0
ASAHIINDIA.NS,1.9207900690295265,-1.2750004128887356,0,Consumer Cyclical,Auto Parts,6.764797,32.03062060615606,0,15.272943782138302,48.612108483519386,102.022,0.289,0,0
ASAHISONG.NS,0.51008285295151,20.594876396603773,0,Basic Materials,Specialty Chemicals,1.9238862,36.470734724695,1,16.759223910479925,24.822151802618123,59.197,0.309,0,0
ASAL.NS,-16.9811492081941,82.8412354701433,0,Consumer Cyclical,Auto Parts,91.998184,32.03062060615606,0,10.576447391644184,47.88469901529655,1702.144,0.298,0,0
ASALCBR.NS,-3.1634392572385925,-4.1044929953213485,0,Consumer Defensive,Beverages - Wineries & Distilleries,3.8415005,38.042035174174714,1,45.03318553918315,24.537460247810916,19.513,0.09,0,0
ASHAPURMIN.NS,,,0,Basic Materials,Other Industrial Metals & Mining,3.1099489,30.52503093096155,1,30.96668035088548,13.094719724725188,95.125,0.507,0,0
ASHIANA.NS,,,0,Real Estate,Real Estate - Development,4.320262,13.948029797161027,0,1.8144740114399402,17.2,36.145,0.223,0,0
ASHIMASYN.NS,,,0,Consumer Cyclical,Textile Manufacturing,1.9433951,-84.48168306527056,1,-0.013043931962850882,-2326.7524,40.742,0.296,0,0
ASHOKA.NS,,,0,Industrials,Engineering & Construction,1.5995928,9.016105709649487,1,60.34783691118043,3.6975641782888764,47.793,0.459,1,0
ASHOKLEY.NS,,,0,Industrials,Farm & Heavy Construction Machinery,5.808216,22.963909439700906,1,10.57983439719218,7.75,315.321,0.336,0,0
ASIANENE.NS,3.2073632678377595,-4.918728064200126,0,Energy,Oil & Gas Equipment & Services,3.468004,7.503639587648968,0,9.422774682071873,32.84064518583589,6.033,0.43,0,0
ASIANHOTNR.NS,,,0,Consumer Cyclical,Lodging,2.5975277,34.09333187721774,1,96.26159027820616,3.639042311555378,209.675,0.4,0,0
ASIANPAINT.NS,5.251982300359337,6.632924000233759,0,Basic Materials,Specialty Chemicals,11.101112,36.470734724695,1,38.250396535890765,28.24,11.418,0.372,0,0
ASIANTILES.NS,,-18.068294493344485,0,Industrials,Building Products & Equipment,0.63436604,-257.63499120163647,0,1.8729301029170717,18.85,19.734,0.275,0,0
ASPINWALL.NS,16.52410575427683,-13.800515907136715,0,Consumer Defensive,Farm Products,1.145202,14.460399135399621,0,18.584626561562693,15.21149747419133,36.028,-0.049,0,0
ASTEC.NS,-62.490123371608284,-47.836877664481065,0,Basic Materials,Agricultural Inputs,6.7759,183.57765609545956,1,-68.71125814577236,-11.799376432315896,235.96,0.023,0,0
ASTERDM.NS,,,0,Healthcare,Medical Care Facilities,8.383108,30.419491901592718,1,5.933093694362854,9.41,55.259,0.073,0,0
ASTRAL.NS,,,0,Industrials,Building Products & Equipment,11.343487,-257.63499120163647,0,19.498576030715995,29.93,6.315,0.421,0,0
ASTRAMICRO.NS,79.90395713250867,34.7172643309278,0,Technology,Communication Equipment,9.784873,22.58521439572265,0,16.168181578808785,70.0202428134413,38.554,0.149,0,0
ASTRAZEN.NS,,,0,Healthcare,Drug Manufacturers - Specialty & Generic,31.77127,40.83915690002742,0,46.29600256,211.46534168499926,4.638,0.03,0,0
ASTRON.NS,,,0,Basic Materials,Paper & Paper Products,0.96202534,9.884720251192684,1,-12.195720258064517,-1.5579235664606277,85.4,0.069,0,0
ATGL.NS,7.116705928543382,8.639093935446517,0,Utilities,Utilities - Regulated Gas,17.775078,62.18422389391291,0,5.950209176484992,114.27329356539892,43.596,0.954,0,0
ATUL.NS,-4.9784033363121845,-4.8137613436272515,0,Basic Materials,Specialty Chemicals,3.879611,36.470734724695,0,164.36835030466887,44.886986979697326,3.563,0.264,0,0
ATULAUTO.NS,-46.68203688853247,-87.41806263656228,0,Consumer Cyclical,Auto Manufacturers,3.6521194,36.50255398439733,0,7.794229459520815,61.26327207582062,24.562,-0.266,0,0
AURIONPRO.NS,40.858765448170274,29.104630965318623,0,Technology,Software - Infrastructure,4.83697,19.331636647382766,0,34.66319693908899,39.05583210858855,2.022,-0.681,0,0
AUROPHARMA.NS,,,0,Healthcare,Drug Manufacturers - Specialty & Generic,2.0646513,40.83915690002742,1,60.01838847713027,19.345737689082267,25.31,0.217,0,0
AURUM.NS,49.75358422939068,19.04358353510896,0,Real Estate,Real Estate Services,3.8250558,-9.477814434730446,1,-4.72477539122896,-41.028405362900806,96.087,0.118,0,0
AUSOMENT.NS,,,0,Financial Services,Capital Markets,1.0341444,17.651675672503675,1,14.35288763616078,7.562938047847477,0.052,-0.123,0,0
AUTOAXLES.NS,,,0,Consumer Cyclical,Auto Parts,2.7584882,32.03062060615606,1,102.92152038115405,17.414239445380247,1.582,0.527,0,0
AUTOIND.NS,,,0,Consumer Cyclical,Auto Parts,2.4608657,32.03062060615606,1,4.194518174701335,6.6,188.053,-0.393,0,0
AVADHSUGAR.NS,-7.329476172601243,-3.4567421758298162,0,Consumer Defensive,Confectioners,0.99886215,-5.203670671410606,0,43.92713583503177,12.509351897279295,124.509,0.374,0,0
AVANTIFEED.NS,,,0,Consumer Defensive,Packaged Foods,3.6126,28.10693201856854,1,38.813911072618644,19.134892090891075,0.477,-0.183,0,0
AVTNPL.NS,,,0,Basic Materials,Specialty Chemicals,1.9439584,36.470734724695,1,3.166911927714008,1.78,22.258,0.019,0,0
AWHCL.NS,6.431711897484993,,0,Industrials,Waste Management,2.676462,20.665789360453594,0,30.093212949807686,20.665789360453594,61.704,0.579,0,0
AWL.NS,13.106080400134374,9.836356069424301,0,Consumer Defensive,Packaged Foods,3.6241639,28.10693201856854,1,9.458032338953739,8.83,20.557,-0.382,0,0
AXISCADES.NS,,,0,Industrials,Engineering & Construction,7.1619306,9.016105709649487,0,17.633613866162168,62.05761384510608,39.327,0.26,0,0
AYMSYNTEX.NS,-19.2777012399134,-12.377417903733692,0,Consumer Cyclical,Textile Manufacturing,2.3688862,-84.48168306527056,0,1.9852819424694996,126.24907054170248,34.934,0.642,0,0
BAFNAPH.NS,-5.098441423997854,,0,Healthcare,Drug Manufacturers - Specialty & Generic,2.0779111,40.83915690002742,0,1.7557690763137093,42.10690403274347,33.251,0.124,0,0
BAGFILMS.NS,,,0,Communication Services,Broadcasting,0.5139246,16.794684877671656,0,0.3137006234905365,23.58936975534331,54.793,-0.099,0,0
BAJAJ-AUTO.NS,,,0,Consumer Cyclical,Auto Manufacturers,6.8461337,36.50255398439733,1,262.2925961966409,32.92887456695437,26.249,0.804,0,0
BAJAJCON.NS,-6.5394081410086375,-7.646572940799046,0,Consumer Defensive,Household & Personal Products,3.2335074,45.6878563693329,1,9.139713082659297,19.043267378953466,0.557,0.363,0,0
BAJAJELEC.NS,0.9538658460197691,-7.1319362602923455,0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4.370266,180.74936713010402,1,11.53042558540751,56.693484135338345,102.94,0.309,0,0
BAJAJHCARE.NS,,,0,Healthcare,Drug Manufacturers - Specialty & Generic,3.5682836,40.83915690002742,1,13.592246535352544,38.75739000391345,47.891,0.257,0,0
BAJAJHIND.NS,,,0,Consumer Defensive,Confectioners,0.7127907,-5.203670671410606,1,-0.11434494728722036,-211.46539985945188,84.483,0.117,0,0
BALAJITELE.NS,-29.162491196805355,-32.67030912213197,0,Communication Services,Entertainment,1.969857,-22.655983472394553,1,-0.7792857202585523,-110.19064993454515,8.107,0.058,0,0
BALAMINES.NS,,-17.094863598959236,0,Basic Materials,Specialty Chemicals,2.6001608,36.470734724695,1,48.61609160211105,30.44465219692259,0.546,0.578,0,0
BALAXI.NS,-26.564741080254763,1.9869298303518357,0,Healthcare,Biotechnology,1.2412491,-29.458490231401957,1,-0.46888198294117417,-110.79547069420587,9.636,0.594,0,0
BALKRISHNA.NS,43.80462158052948,-9.321924775627407,0,Consumer Cyclical,Packaging & Containers,-0.40765694,25.873201584456336,1,-2.062384580766306,-10.356943219612035,,-0.311,0,0
BALKRISIND.NS,,,0,Consumer Cyclical,Auto Parts,4.640111,32.03062060615606,1,85.6086166290028,29.117396100470497,31.455,0.455,0,0
BALMLAWRIE.NS,,,0,Industrials,Conglomerates,1.8582547,37.06889119214899,1,15.552694627026268,13.739741255426315,5.311,0.637,0,0
BALPHARMA.NS,,7.85092000504658,0,Healthcare,Drug Manufacturers - Specialty & Generic,2.569908,40.83915690002742,1,4.53196741390248,22.164766607071087,194.321,0.199,0,0
BALRAMCHIN.NS,-1.4911850256814212,-2.6004642183032582,0,Consumer Defensive,Confectioners,3.253146,-5.203670671410606,0,21.640260641301225,28.26444700174469,69.213,0.575,0,0
BANARBEADS.NS,3.7391867608341345,-7.627298820027639,0,Consumer Cyclical,Footwear & Accessories,1.6595762,37.58279663354285,1,4.653402087332849,25.736009429746446,15.37,-0.16,0,0
BANARISUG.NS,,0.268586799221876,0,Consumer Defensive,Confectioners,2.7804878,-5.203670671410606,0,83.46938315908675,47.25565052376453,8.425,0.629,0,0
BANCOINDIA.NS,39.26322004986223,32.6293487957181,0,Consumer Cyclical,Auto Parts,6.135323,32.03062060615606,1,27.39151651063803,20.398651523474378,44.008,0.734,0,0
BANG.NS,-174.80683931892975,-8105.363321799308,0,Consumer Cyclical,Apparel Manufacturing,0.87535924,-14.603071565408019,1,-1.6019174041297934,-34.976834545621955,30.113,-0.101,0,0
BANKA.NS,-32.39869502667544,-9.788847578066273,0,Industrials,Pollution & Treatment Controls,2.01801,-9.137770616365568,0,-6.940423727250936,-9.137770616365568,94.898,0.715,0,0
BANSWRAS.NS,36.23274549125818,18.575462125556978,0,Consumer Cyclical,Textile Manufacturing,0.9019028,-84.48168306527056,0,6.472258727919117,22.716953413151227,81.186,0.259,0,0
BARBEQUE.NS,,,0,Consumer Cyclical,Restaurants,3.3585665,-27.623847228774686,1,-7.109628871466295,-43.87008177765452,204.262,0.128,0,0
BASF.NS,-4.866014390424317,-7.544085532876385,0,Basic Materials,Specialty Chemicals,5.94795,36.470734724695,0,110.67422403755522,45.12342456817569,5.231,0.684,0,0
BASML.NS,24.922288269618804,-22.849550947825715,0,Consumer Cyclical,Textile Manufacturing,0.5102089,-84.48168306527056,1,-0.25797846384072354,-124.66156872635558,112.597,0.395,0,0
BATAINDIA.NS,,,0,Consumer Cyclical,Footwear & Accessories,9.954349,37.58279663354285,0,25.726378687912362,47.37938498016065,91.846,0.328,0,0
BAYERCROP.NS,,,0,Basic Materials,Agricultural Inputs,8.670159,183.57765609545956,1,126.3848373796507,43.50205383802817,3.687,0.221,0,0
BBL.NS,35.11723873628302,,0,Industrials,Electrical Equipment & Parts,1.739459,43.0695222740137,1,118.24189540922401,25.264310840597044,4.479,0.243,0,0
BBOX.NS,45.400165016501646,,0,Technology,Software - Application,12.511159,-3.0326694764183926,0,12.076713869525731,46.41577220890251,124.165,0.152,0,0
BBTC.NS,417.63962533159633,9.810178298947896,0,Consumer Defensive,Packaged Foods,2.4534612,28.10693201856854,1,160.89997119757547,12.308889711161386,20.152,0.672,1,0
BCG.NS,,,0,Communication Services,Advertising Agencies,0.23794644,19.01621635727663,1,3.5176173428415325,2.9224327145532585,,-0.14,0,0
BCLIND.NS,,,0,Consumer Defensive,Beverages - Wineries & Distilleries,1.5525402,38.042035174174714,1,3.217388325301252,13.050958030087456,64.506,0.703,0,0
BCONCEPTS.NS,,,0,Consumer Cyclical,Footwear & Accessories,5.645212,37.58279663354285,0,5.876731622956373,60.4757921242643,174.47,-0.475,0,0
BDL.NS,,-9.236786874231795,0,Industrials,Aerospace & Defense,17.683317,54.04051592290881,1,14.994604830598036,28.72,0.053,0.332,0,0
BEARDSELL.NS,-534.9739647904786,56.9296951308215,0,Industrials,Building Products & Equipment,1.5008069,-257.63499120163647,0,2.492583107234323,12.312528280773144,35.432,-0.482,0,0
BECTORFOOD.NS,,,0,Consumer Defensive,Packaged Foods,7.3722243,28.10693201856854,0,23.34377994103468,60.04169005792453,15.788,0.271,0,0
BEDMUTHA.NS,,,0,Basic Materials,Steel,3.6068528,25.187680801956695,1,7.693118314896835,21.072079404536485,149.576,-0.249,0,0
BEL.NS,,,0,Industrials,Aerospace & Defense,14.297739,54.04051592290881,1,7.279890878378899,7.64,0.306,0.389,0,0
BEML.NS,,,0,Industrials,Conglomerates,6.341358,37.06889119214899,0,70.24216576018442,62.59488090118445,7.92,0.651,0,0
BEPL.NS,-11.569972018560055,-13.493120910063073,0,Basic Materials,Chemicals,2.8908224,18.505374833469585,1,7.233651576401,5.82,,0.638,0,0
BERGEPAINT.NS,10.433827237578347,8.795825420113228,0,Basic Materials,Specialty Chemicals,11.004921,36.470734724695,0,10.124454082311543,57.43519554461114,10.869,0.487,0,0
BESTAGRO.NS,-8.32170378735017,,0,Basic Materials,Agricultural Inputs,1.0608854,183.57765609545956,1,29.558419772718622,11.502644681763671,63.076,-0.201,0,0
BFINVEST.NS,3.1023863343295375,,0,Financial Services,Asset Management,0.28073373,19.616402045579957,1,59.01384617018339,8.681860838598649,,-0.13,0,0
BFUTILITIE.NS,-1517.726904376013,49.51885765252343,0,Industrials,Infrastructure Operations,22.05066,1.7596917696739192,0,39.32605252259236,19.59133832609783,141.438,-0.005,0,0
BGRENERGY.NS,,,0,Industrials,Engineering & Construction,-0.5167663,9.016105709649487,1,-134.7531132347398,-0.8545257117689653,,0.536,0,0
BHAGCHEM.NS,,,0,Basic Materials,Agricultural Inputs,5.682056,183.57765609545956,0,1.068667083111615,279.74100140668105,13.033,0.17,0,0
BHAGERIA.NS,,,0,Basic Materials,Specialty Chemicals,1.4816437,36.470734724695,1,9.257679141787454,20.463012067992594,8.088,0.55,0,0
BHAGYANGR.NS,6.624149506397875,,0,Basic Materials,Copper,1.2183149,20.57150695166588,1,4.381340584466323,18.012751686048848,132.666,0.766,0,0
BHANDARI.NS,,,0,Consumer Cyclical,Apparel Manufacturing,0.89528376,-14.603071565408019,0,0.2813330556134139,19.905232919714514,66.654,0.669,0,0
BHARATFORG.NS,-3.249415764738073,10.114855167518016,0,Consumer Cyclical,Auto Parts,6.673668,32.03062060615606,0,19.685727731627,65.85481713826661,72.867,0.59,0,0
BHARATGEAR.NS,,,0,Consumer Cyclical,Auto Parts,1.2325704,32.03062060615606,0,2.0762482823296495,43.80978940434741,70.567,0.141,0,0
BHARATRAS.NS,,,0,Basic Materials,Agricultural Inputs,3.280641,183.57765609545956,1,339.1356037032491,26.306586222679535,7.542,0.226,0,0
BHARATWIRE.NS,,,0,Basic Materials,Steel,2.072128,25.187680801956695,1,10.562152786485596,21.133949159077943,17.789,0.413,0,0
BHARTIARTL.NS,172.161507908529,23.04610675185061,0,Communication Services,Telecom Services,10.021756,31.756743801748527,0,58.891428279779326,31.756743801748527,139.21,0.113,0,0
BHEL.NS,4.925117144586688,32.51494803777345,0,Industrials,Specialty Industrial Machinery,3.5982664,33.12820821527111,1,1.5332876972064795,7.58,36.464,0.756,0,0
BIGBLOC.NS,,,0,Industrials,Building Products & Equipment,6.4582477,-257.63499120163647,0,0.6835692490252585,4.15,126.053,-0.009,0,0
BIL.NS,,,0,Consumer Cyclical,Footwear & Accessories,1.9946935,37.58279663354285,1,12.064246942484829,16.74,106.792,-0.048,0,0
BIOCON.NS,14.06924737816163,6.175671879389455,0,Healthcare,Biotechnology,1.8240551,-29.458490231401957,0,8.457840109300967,9.92,66.259,0.219,0,0
BIOFILCHEM.NS,-10.717738037699373,-16.21598854350939,0,Healthcare,Drug Manufacturers - Specialty & Generic,4.7228127,40.83915690002742,0,0.34275952758421513,155.59013158838292,2.509,1.629,0,0
BIRLACABLE.NS,,,0,Technology,Communication Equipment,2.1700912,22.58521439572265,1,1.6304666666666667,8.94,43.993,-0.03,0,0
BIRLACORPN.NS,-6.482852053488547,-2.5242042209375204,0,Basic Materials,Building Materials,1.5132437,35.82604280772175,0,38.33892193596659,35.95301929204464,49.729,0.265,0,0
BIRLAMONEY.NS,45.974790301842894,110.62390774686514,0,Financial Services,Capital Markets,4.722661,17.651675672503675,1,13.128976662207215,15.032397808133531,721.136,-0.246,0,0
BLBLIMITED.NS,,,0,Financial Services,Capital Markets,0.80811936,17.651675672503675,0,0.7301575891936677,20.338075259067356,0.308,-0.477,0,0
BLISSGVS.NS,115.12330288161061,-4.4180643195409015,0,Healthcare,Drug Manufacturers - Specialty & Generic,1.373508,40.83915690002742,1,8.000313409888962,17.059331679594067,8.069,0.969,0,0
BLKASHYAP.NS,,,0,Industrials,Engineering & Construction,3.1069949,9.016105709649487,1,1.2187366926898509,1.05,60.442,0.438,0,0
BLS.NS,89.18524343391225,113.64945844101642,0,Industrials,Specialty Business Services,9.489634,1.3988441105920764,0,12.348377289201853,6.7,17.786,-0.14,0,0
BLUEDART.NS,,,0,Industrials,Integrated Freight & Logistics,9.895369,17.761163324158403,0,106.38109297493668,61.11048324660127,64.59,0.064,0,0
BLUESTARCO.NS,63.13427941088784,45.2426144478689,0,Industrials,Building Products & Equipment,10.63572,-257.63499120163647,0,28.754709734028754,25.03,12.42,0.062,0,0
BODALCHEM.NS,,,0,Basic Materials,Specialty Chemicals,0.83320016,36.470734724695,0,1.4690656164644604,49.68464252513241,82.447,0.331,0,0
BOMDYEING.NS,-51.62061174834898,-36.62627600716902,0,Consumer Cyclical,Textile Manufacturing,1.3307027,-84.48168306527056,0,23.73157031083079,6.451321930859631,0.125,-0.091,0,0
BOROLTD.NS,14.109188372684024,18.045511283707476,0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5.4906,180.74936713010402,1,6.209589453608593,59.593311726100026,11.522,0.496,0,0
BORORENEW.NS,-35.48662513476163,-34.241247122904575,0,Technology,Solar,7.500823,-108.44121836872483,0,-5.2516931160213485,-108.44121836872483,25.178,0.342,0,0
BOSCHLTD.NS,,,0,Consumer Cyclical,Auto Parts,6.746319,32.03062060615606,0,683.266895597689,46.24108119911505,0.856,0.531,0,0
BPCL.NS,3.542032273252577,5.694757120730149,0,Energy,Oil & Gas Refining & Marketing,1.6624935,25.26923963352747,1,30.739932203965893,10.302560132489203,75.077,0.94,0,0
BPL.NS,,,0,Technology,Consumer Electronics,1.5193172,2192.7587505966562,0,0.019233989031317508,4303.839409766454,,-0.465,0,0
